001, Bulbasaur, Sleep Powder, Hidden Power (Fire), Sludge Bomb, Leaf Storm
160, Feraligatr, Aqua Jet, Dragon Tail, Liquidation, Power-Up Punch
161, Sentret, Hidden Power (Fighting), Flamethrower, Ice Beam, Shadow Ball
162, Furret, Fire Punch, Hone Claws, Ice Punch, Double-Edge
163, Hoothoot, Air Slash, Extrasensory, Hidden Power (Grass), Heat Wave
164, Noctowl, Defog, Hurricane, Psychic, Moonblast
165, Ledyba, Bug Buzz, Air Slash, U-turn, Headbutt
166, Ledian, Focus Blast, Giga Drain, Mach Punch, Hidden Power (Fire)
167, Spinarak, Megahorn, Body Slam, Poison Jab, Shadow Sneak
168, Ariados, Leech Life, Toxic, Night Slash, Sludge Bomb
169, Crobat, Wing Attack, X-Scissor, Zen Headbutt, Astonish
170, Chinchou, Thunder, Hydro Pump, Blizzard, Dazzling Gleam
171, Lanturn, Scald, Discharge, Ice Beam, Agility
172, Pichu, Volt Tackle, Signal Beam, Hidden Power (Fighting), Charm
173, Cleffa, Body Slam, Psychic, Shadow Ball, Hidden Power (Ice)
174, Igglybuff, Flamethrower, Psychic, Wild Charge, Body Slam
175, Togepi, Dazzling Gleam, Fire Blast, Psychic, Zap Cannon
176, Togetic, Extrasensory, Thunder Wave, Flamethrower, Tri Attack
177, Natu, Calm Mind, Dazzling Gleam, Drill Peck, Heat Wave
178, Xatu, Air Slash, Defog, Psychic, Giga Drain
179, Mareep, Zap Cannon, Power Gem, Signal Beam, Thunder Wave
180, Flaafy, Thunderbolt, Fire Punch, Cotton Guard, Body Slam
181, Ampharos, Dragon Pulse, Discharge, Hidden Power (Grass), Toxic
182, Bellossom, Leaf Blade, Hidden Power (Electric), Moonlight, Moonblast
183, Marill, Aqua Tail, Play Rough, Superpower, Double-Edge
184, Azumarill, Waterfall, Play Rough, Aqua Jet, Double-Edge
185, Sudowoodo, Head Smash, Wood Hammer, Rock Polish, Hammer Arm
186, Politoed, Scald, Toxic, Focus Blast, Hidden Power (Fire)
187, Hoppip, Dazzling Gleam, Giga Drain, U-turn, Sleep Powder
188, Skiploom, Cotton Guard, Energy Ball, Sleep Powder, Synthesis
189, Jumpluff, Aerial Ace, Double Team, Toxic, Seed Bomb
190, Aipom, Brick Break, Gunk Shot, Body Slam, Seed Bomb
191, Sunkern, Earth Power, Energy Ball, Sludge Bomb, Synthesis
192, Sunflora, Leaf Storm, Double-Edge, Toxic, Hidden Power (Ice)
193, Yanma, Air Slash, U-turn, Psychic, Quick Attack
194, Wooper, Aqua Tail, Ice Beam, Power-Up Punch, Sludge Wave
195, Quagsire, Waterfall, Sludge Bomb, Hidden Power (Grass), Ice Punch
196, Espeon, Psychic, Hyper Voice, Signal Beam, Shadow Ball
197, Umbreon, Dark Pulse, Moonlight, Double Team, Toxic
198, Murkrow, Brave Bird, Dark Pulse, Thunder Wave, Whirlwind
199, Slowking, Ice Beam, Nasty Plot, Power Gem, Flamethrower
200, Misdreavus, Toxic, Thunderbolt, Dazzling Gleam, Shadow Ball
201, Unown, Hidden Power (Ice), None, None, None
202, Wobboffet, Mirror Coat, Counter, None, None
203, Girafarig, Crunch, Hyper Voice, Zen Headbutt, Psychic Fangs
204, Pineco, Earthquake, Explosion, Rock Slide, Toxic
205, Forretress, Drill Run, Self-Destruct, Body Slam, Rock Slide
206, Dunsparce, Coil, Earthquake, Body Slam, Glare
207, Gligar, Earthquake, Poison Jab, Night Slash, Stone Edge
208, Steelix, Earthquake, Iron Head, Ice Fang, Rock Polish
209, Snubbull, Dazzling Gleam, Fire Blast, Thunder, Hidden Power (Fighting)
210, Granbull, Play Rough, Rock Slide, Ice Fang, Body Slam
211, Qwilfish, Liquidation, Poison Jab, Swords Dance, Aqua Jet
212, Scizor, U-turn, Bullet Punch, Iron Head, Night Slash
213, Shuckle, Shell Smash, Rock Slide, Earthquake, Body Slam
214, Heracross, Close Combat, Megahorn, Stone Edge, Swords Dance
215, Sneasel, Ice Punch, Ice Shard, X-Scissor, Poison Jab
216, Teddiursa, Double-Edge, Fire Punch, Close Combat, Gunk Shot
217, Ursaring, Body Slam, Cross Chop, Play Rough, Night Slash
218, Slugma, Fire Blast, Memento, Rock Slide, Recover
219, Magcargo, Lava Plume, Self-Destruct, Shell Smash, Rock Tomb
220, Swinub, Earthquake, Icicle Crash, Rock Slide, Double-Edge
221, Piloswine, Ice Fang, Ice Shard, Stone Edge, Superpower
222, Corsola, Scald, Ice Beam, Earth Power, Head Smash
223, Remoraid, Fire Blast, Hydro Pump, Gunk Shot, Ice Beam
224, Octillery, Octazooka, Psybeam, Sludge Bomb, Energy Ball
225, Delibird, Drill Peck, Ice Punch, Power-Up Punch, Defog
226, Mantine, Air Slash, Surf, Agility, Toxic
227, Skarmory, Brave Bird, Iron Head, Night Slash, Whirlwind
228, Houndour, Dark Pulse, Fire Blast, Hyper Voice, Hidden Power (Ice)
229, Houndoom, Bite, Fire Fang, Roar, Thunder Fang
230, Kingdra, Dragon Breath, Scald, Signal Beam, Hidden Power (Fighting)
231, Phanpy, Head Smash, Earthquake, Gunk Shot, Ice Shard
232, Donphan, Rock Slide, Poison Jab, Play Rough, Roar
233, Porygon2, Tri Attack, Discharge, Psybeam, Thunder Wave
234, Stantler, Extrasensory, Megahorn, Double-Edge, Energy Ball
235, Smeargle, Flamethrower, Spore, Aura Sphere, Clanging Scales
236, Tyrogue, Brick Break, Bullet Punch, Bulk Up, Body Slam
237, Hitmontop, Mach Punch, Close Combat, Drill Run, Bulk Up
238, Smoochum, Psychic, Blizzard, Shadow Ball, Signal Beam
239, Elekid, Cross Chop, Thunder Punch, Ice Punch, Volt Switch
240, Magby, Overheat, Psychic, Thunder Punch, Toxic
241, Miltank, Milk Drink, Zen Headbutt, Rock Slide, Body Slam
242, Blissey, Soft-Boiled, Toxic, Flamethrower, Calm Mind
243, Raikou, Aura Sphere, Discharge, Bite, Volt Switch
244, Entei, Sacred Fire, Iron Head, Extreme Speed, Body Slam
245, Suicune, Ice Beam, Scald, Hidden Power (Grass), Shadow Ball
246, Larvitar, Earthquake, Stone Edge, Superpower, Rock Polish
247, Pupitar, Rock Slide, Earth Power, Brick Break, Iron Head
248, Tyranitar, Power-Up Punch, Rock Tomb, Surf, Thunderbolt
249, Lugia, Aeroblast, Extrasensory, Signal Beam, Thunder Wave
250, Ho-Oh, Sacred Fire, Aerial Ace, Ancient Power, Dragon Breath
251, Celebi, Giga Drain, Dazzling Gleam, Ancient Power, Synthesis
