107, Hitmonchan, 241, 246, 194, 106, 256, 188
108, Lickitung, 321, 146, 186, 156, 186, 96
109, Koffing, 221, 166, 226, 156, 126, 106
110, Weezing, 271, 216, 276, 206, 176, 156
111, Rhyhorn, 301, 206, 226, 96, 96, 86
112, Rhydon, 351, 296, 276, 126, 126, 116
113, Chansey, 641, 46, 46, 106, 246, 136
114, Tangela, 271, 146, 266, 236, 116, 156
115, Kangaskhan, 351, 226, 196, 116, 196, 216
116, Horsea, 201, 116, 176, 176, 86, 156
117, Seadra, 251, 166, 226, 226, 126, 206
118, Goldeen, 231, 170, 156, 106, 136, 162
119, Seaking, 301, 220, 166, 166, 196, 172
120, Staryu, 201, 126, 146, 176, 146, 206
121, Starmie, 261, 186, 206, 236, 206, 266
122, Mr. Mime, 221, 126, 166, 236, 276, 216
123, Scyther, 281, 256, 196, 146, 196, 246
124, Jynx, 271, 136, 106, 266, 226, 226
125, Electabuzz, 271, 202, 150, 226, 206, 246
126, Magmar, 271, 226, 150, 236, 206, 222
127, Pinsir, 271, 286, 236, 146, 176, 206
128, Tauros, 291, 236, 226, 116, 176, 256
129, Magikarp, 181, 56, 146, 66, 76, 196
130, Gyarados, 331, 286, 194, 156, 236, 198
131, Lapras, 401, 206, 196, 206, 226, 156
132, Ditto, 237, 132, 132, 132, 132, 132
133, Eevee, 251, 146, 136, 126, 166, 146
134, Vaporean, 401, 166, 156, 256, 226, 166
135, Jolteon, 271, 166, 156, 256, 226, 296
136, Flareon, 271, 296, 156, 226, 256, 166
137, Porygon, 271, 156, 176, 206, 186, 116
138, Omanyte, 211, 116, 236, 216, 146, 106
139, Omastar, 281, 156, 286, 266, 176, 146
140, Kabuto, 201, 196, 216, 146, 126, 146
141, Kabutops, 261, 266, 246, 166, 176, 196
142, Aerodactyl, 301, 246, 166, 156, 186, 296
143, Snorlax, 461, 256, 166, 166, 256, 96
144, Articuno, 321, 206, 236, 226, 286, 206
145, Zapdos, 321, 216, 206, 286, 216, 236
146, Moltres, 321, 236, 216, 286, 206, 216
147, Dratini, 223, 164, 126, 136, 136, 136
148, Dragonair, 263, 204, 166, 176, 176, 176
149, Dragonite, 323, 304, 226, 236, 236, 194
150, Mewtwo, 353, 256, 216, 344, 216, 296
151, Mew, 341, 236, 236, 236, 236, 236
152, Chikorita, 231, 134, 166, 134, 166, 126
153, Bayleef, 261, 160, 196, 162, 196, 156
154, Meganium, 301, 200, 236, 202, 236, 196
155, Cyndaquil, 219, 140, 122, 156, 136, 166
156, Quilava, 257, 164, 152, 196, 166, 196
157, Typhlosion, 297, 204, 192, 254, 206, 236
158, Totodile, 241, 166, 164, 124, 132, 122
159, Croconaw, 271, 196, 196, 154, 162, 152
160, Feraligatr, 311, 246, 236, 194, 202, 192
161, Sentret, 211, 128, 104, 106, 126, 76
162, Furret, 311, 188, 164, 126, 146, 216
163, Hoothoot, 261, 96, 96, 108, 148, 136
164, Noctowl, 341, 136, 136, 208, 228, 176
165, Ledyba, 221, 76, 96, 116, 196, 146
166, Ledian, 251, 106, 136, 146, 256, 206
167, Spinarak, 221, 156, 116, 116, 116, 96
168, Ariados, 281, 216, 176, 156, 176, 116
169, Crobat, 311, 216, 196, 176, 196, 296
170, Chinchou, 291, 112, 112, 148, 148, 170
171, Lanturn, 391, 152, 152, 188, 188, 170
172, Pichu, 181, 116, 66, 106, 106, 156
173, Cleffa, 241, 86, 92, 126, 146, 66
174, Igglybuff, 321, 96, 66, 116, 76, 66
175, Togepi, 211, 76, 166, 116, 166, 76
176, Togetic, 251, 116, 206, 196, 246, 116
177, Natu, 221, 136, 126, 176, 126, 176
178, Xatu, 271, 186, 176, 226, 176, 226
179, Mareep, 251, 116, 116, 166, 126, 106
180, Flaafy, 281, 146, 146, 196, 156, 126
181, Ampharos, 321, 186, 206, 266, 216, 146
182, Bellossom, 291, 196, 226, 216, 236, 136
183, Marill, 281, 76, 136, 76, 136, 116
184, Azumarill, 341, 136, 196, 156, 196, 136
185, Sudowoodo, 281, 236, 266, 96, 166, 96
186, Politoed, 321, 186, 186, 216, 236, 176
187, Hoppip, 211, 106, 116, 106, 146, 136
188, Skiploom, 251, 126, 136, 126, 166, 196
189, Jumpluff, 291, 115, 176, 146, 226, 256
190, Aipom, 251, 176, 146, 116, 146, 206
191, Sunkern, 201, 96, 96, 96, 96, 96
192, Sunflora, 291, 186, 146, 246, 206, 96
193, Yanma, 271, 166, 126, 186, 126, 226
194, Wooper, 251, 126, 126, 86, 86, 66
195, Quagsire, 331, 206, 206, 166, 166, 106
196, Espeon, 271, 166, 156, 296, 226, 256
197, Umbreon, 331, 166, 256, 156, 296, 166
198, Murkrow, 261, 206, 120, 206, 120, 218
199, Slowking, 331, 186, 196, 236, 256, 96
200, Misdreavus, 261, 156, 156, 206, 206, 206
201, Unown, 237, 180, 132, 180, 132, 132
202, Wobboffet, 521, 102, 152, 102, 152, 102
203, Girafarig, 281, 196, 166, 216, 166, 206
204, Pineco, 241, 166, 216, 106, 106, 66
205, Forretress, 291, 216, 316, 156, 156, 116
206, Dunsparce, 341, 176, 176, 166, 166, 126
207, Gligar, 271, 186, 246, 106, 166, 206
208, Steelix, 291, 206, 436, 146, 166, 96
209, Snubbull, 261, 196, 136, 116, 116, 96
210, Granbull, 321, 276, 186, 156, 156, 126
211, Qwilfish, 271, 226, 206, 146, 146, 206
212, Scizor, 281, 296, 236, 146, 196, 166
213, Shuckle, 181, 56, 496, 56, 496, 46
214, Heracross, 301, 286, 186, 116, 226, 206
215, Sneasel, 251, 226, 146, 106, 186, 266
216, Teddiursa, 261, 196, 136, 136, 136, 116
217, Ursaring, 321, 296, 186, 186, 186, 146
218, Slugma, 221, 116, 116, 176, 116, 76
219, Magcargo, 261, 136, 276, 216, 196, 96
220, Swinub, 241, 136, 116, 96, 96, 136
221, Piloswine, 341, 236, 196, 156, 156, 136
222, Corsola, 271, 146, 226, 166, 226, 106
223, Remoraid, 211, 166, 106, 166, 106, 166
224, Octillery, 291, 246, 186, 246, 186, 126
225, Delibird, 231, 146, 126, 166, 126, 186
226, Mantine, 311, 116, 176, 196, 316, 176
227, Skarmory, 271, 196, 316, 116, 176, 176
228, Houndour, 231, 156, 96, 196, 136, 166
229, Houndoom, 291, 216, 136, 256, 196, 226
230, Kingdra, 291, 226, 226, 226, 226, 206
231, Phanpy, 321, 156, 156, 116, 116, 116
232, Donphan, 321, 276, 2763, 156, 156, 136
233, Porygon2, 311, 196, 216, 246, 226, 156
234, Stantler, 287, 226, 160, 206, 166, 206
235, Smeargle, 251, 76, 106, 76, 126, 186
236, Tyrogue, 211, 106, 106, 106, 106, 106
237, Hitmontop, 241, 226, 226, 106, 256, 176
238, Smoochum, 231, 96, 66, 206, 166, 166
239, Elekid, 231, 162, 110, 166, 146, 226
240, Magby, 231, 186, 110, 176, 146, 202
241, Miltank, 331, 196, 246, 116, 176, 236
242, Blissey, 651, 56, 56, 186, 306, 146
243, Raikou, 321, 206, 186, 266, 236, 266
244, Entei, 371, 266, 206, 216, 186, 236
245, Suicune, 341, 186, 266, 216, 266, 206
246, Larvitar, 241, 164, 136, 126, 136, 118
247, Pupitar, 281, 204, 176, 166, 176, 138
248, Tyranitar, 341, 304, 256, 226, 236, 158
249, Lugia, 353, 216, 296, 216, 344, 256
250, Ho-Oh, 353, 296, 216, 256, 344, 216
251, Celebi, 341, 236, 236, 236, 236, 236
