001, Bulbasaur, 100, Female, Grass, Poison
102, Exeggcute, 100, Male, Grass, Psychic
103, Exeggutor, 100, Male, Grass, Psychic
104, Cubone, 100, Female, Ground, None
105, Marowak, 100, Female, Ground, None
106, Hitmonlee, 100, Male, Fighting, None
107, Hitmonchan, 100, Male, Fighting, None
108, Lickitung, 100, Male, Normal, None
109, Koffing, 100, Female, Poison, None
110, Weezing, 100, Female, Poison, None
111, Rhyhorn, 100, Male, Ground, Rock
112, Rhydon, 100, Male, Ground, Rock
113, Chansey, 100, Female, Normal, None
114, Tangela, 100, Female, Grass, None
115, Kangaskhan, 100, Female, Normal, None
116, Horsea, 100, Male, Water, None
117, Seadra, 100, Male, Water, None
118, Goldeen, 100, Female, Water, None
119, Seaking, 100, Female, Water, None
120, Staryu, 100, None, Water, None
121, Starmie, 100, None, Water, Psychic
122, Mr. Mime, 100, Male, Psychic, Fairy
123, Scyther, 100, Male, Bug, Flying
124, Jynx, 100, Female, Ice, Psychic
125, Electabuzz, 100, Male, Electric, None
126, Magmar, 100, Female, Fire, None
127, Pinsir, 100, Male, Bug, None
128, Tauros, 100, Male, Normal, None
129, Magikarp, 100, Male, Water, None
130, Gyarados, 100, Male, Water, Flying
131, Lapras, 100, Male, Water, Ice
132, Ditto, 100, None, Normal, None
133, Eevee, 100, Female, Normal, None
134, Vaporean, 100, Female, Water, None
135, Jolteon, 100, Male, Electric, None
136, Flareon, 100, Male, Fire, None
137, Porygon, 100, None, Normal, None
138, Omanyte, 100, Male, Rock, Water
139, Omastar, 100, Male, Rock, Water
140, Kabuto, 100, Male, Rock, Water
141, Kabutops, 100, Male, Rock, Water
142, Aerodactyl, 100, Female, Rock, Flying
143, Snorlax, 100, Female, Normal, None
144, Articuno, 100, None, Ice, Flying
145, Zapdos, 100, None, Electric, Flying
146, Moltres, 100, None, Fire, Flying
147, Dratini, 100, Male, Dragon, None
148, Dragonair, 100, Male, Dragon, None
149, Dragonite, 100, Male, Dragon, Flying
150, Mewtwo, 100, None, Psychic, None
151, Mew, 100, None, Psychic, None
152, Chikorita, 100, Female, Grass, None
153, Bayleef, 100, Female, Grass, None
154, Meganium, 100, Female, Grass, None
155, Cyndaquil, 100, Male, Fire, None
156, Quilava, 100, Male, Fire, None
157, Typhlosion, 100, Male, Fire, None
158, Totodile, 100, Male, Water, None
159, Croconaw, 100, Male, Water, None
160, Feraligatr, 100, Male, Water, None
161, Sentret, 100, Female, Normal, None
162, Furret, 100, Female, Normal, None
163, Hoothoot, 100, Male, Normal, Flying
164, Noctowl, 100, Male, Normal, Flying
165, Ledyba, 100, Female, Bug, Flying
166, Ledian, 100, Female, Bug, Flying
167, Spinarak, 100, Male, Bug, Poison
168, Ariados, 100, Male, Bug, Poison
169, Crobat, 100, Male, Poison, Flying
170, Chinchou, 100, Male, Water, Electric
171, Lanturn, 100, Male, Water, Electric
172, Pichu, 100, Female, Electric, None
173, Cleffa, 100, Female, Fairy, None
174, Igglybuff, 100, Female, Fairy, Normal
175, Togepi, 100, Male, Fairy, None
176, Togetic, 100, Male, Fairy, Flying
177, Natu, 100, Male, Psychic, Flying
178, Xatu, 100, Male, Psychic, Flying
179, Mareep, 100, Female, Electric, None
180, Flaafy, 100, Female, Electric, None
181, Ampharos, 100, Female, Electric, None
182, Bellossom, 100, Female, Grass, None
183, Marill, 100, Male, Water, Fairy
184, Azumarill, 100, Male, Water, Fairy
185, Sudowoodo, 100, Male, Rock, None
186, Politoed, 100, Male, Water, None
187, Hoppip, 100, Female, Grass, Flying
188, Skiploom, 100, Female, Grass, Flying
189, Jumpluff, 100, Female, Grass, Flying
190, Aipom, 100, Male, Normal, None
191, Sunkern, 100, Male, Grass, None
192, Sunflora, 100, Male, Grass, None
193, Yanma, 100, Male, Bug, Flying
194, Wooper, 100, Female, Water, Ground
195, Quagsire, 100, Female, Water, Ground
196, Espeon, 100, Male, Psychic, None
197, Umbreon, 100, Male, Dark, None
198, Murkrow, 100, Male, Dark, Flying
199, Slowking, 100, Male, Water, Psychic
200, Misdreavus, 100, Female, Ghost, None
201, Unown, 100, None, Psychic, None
202, Wobboffet, 100, Male, Psychic, None
203, Girafarig, 100, Male, Normal, Psychic
204, Pineco, 100, Male, Bug, None
205, Forretress, 100, Male, Bug, Steel
206, Dunsparce, 100, Female, Normal, None
207, Gligar, 100, Male, Ground, Flying
208, Steelix, 100, Female, Steel, Ground
209, Snubbull, 100, Male, Fairy, None
210, Granbull, 100, Male, Fairy, None
211, Qwilfish, 100, Male, Water, Poison
212, Scizor, 100, Female, Bug, Steel
213, Shuckle, 100, Female, Bug, Rock
214, Heracross, 100, Female, Bug, Fighting
215, Sneasel, 100, Male, Dark, Ice
216, Teddiursa, 100, Male, Normal, None
217, Ursaring, 100, Male, Normal, None
218, Slugma, 100, Female, Fire, Rock
219, Magcargo, 100, Female, Fire, Rock
220, Swinub, 100, Male, Water, Ground
221, Piloswine, 100, Male, Water, Ground
222, Corsola, 100, Male, Water, Rock
223, Remoraid, 100, Male, Water, None
224, Octillery, 100, Male, Water, None
225, Delibird, 100, Male, Ice, Flying
226, Mantine, 100, Female, Water, Flying
227, Skarmory, 100, Male, Steel, Flying
228, Houndour, 100, Female, Dark, Fire
229, Houndoom, 100, Female, Dark, Fire
230, Kingdra, 100, Male, Water, Dragon
231, Phanpy, 100, Male, Ground, None
232, Donphan, 100, Male, Ground, None
233, Porygon2, 100, None, Normal, None
234, Stantler, 100, Male, Normal, None
235, Smeargle, 100, Female, Normal, None
236, Tyrogue, 100, Male, Fighting, None
237, Hitmontop, 100, Male, Fighting, None
238, Smoochum, 100, Female, Ice, Psychic
239, Elekid, 100, Male, Electric, None
240, Magby, 100, Male, Fire, None
241, Miltank, 100, Female, Normal, None
242, Blissey, 100, Female, Normal, None
243, Raikou, 100, None, Electric, None
244, Entei, 100, None, Fire, None
245, Suicune, 100, None, Water, None
246, Larvitar, 100, Male, Rock, Ground
247, Pupitar, 100, Male, Rock, Ground
248, Tyranitar, 100, Male, Rock, Dark
249, Lugia, 100, None, Psychic, Flying
250, Ho-Oh, 100, None, Fire, Flying
251, Celebi, 100, None, Grass, Psychic
